,name,hp,attack,defense,special_attack,special_defense,speed,total,capture_rate,flavor_text_entries,habitat,id_x,base_experience,type_1,type_2,generation
83,doduo,35,85,45,35,35,75,310,190,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,grassland,84,62,normal,flying,1
15,pidgey,40,45,40,35,35,56,251,255,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,forest,16,50,normal,flying,1
291,shedinja,1,90,45,30,30,40,236,45,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.,forest,292,83,bug,ghost,3
141,aerodactyl,80,105,65,60,75,130,515,45,"A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs.",mountain,142,180,rock,flying,1
455,mantyke,45,20,50,60,120,50,345,25,A friendly Pokémon that captures the subtle flows of seawater using its two antennae.,sea,458,69,water,flying,4
46,parasect,60,95,80,60,80,30,405,75,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,forest,47,142,bug,grass,1
384,jirachi,100,100,100,100,100,100,600,3,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening.",mountain,385,270,steel,psychic,3
144,zapdos,90,90,85,125,90,100,580,3,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,rare,145,261,electric,flying,1
143,articuno,90,85,100,95,125,85,580,3,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,rare,144,261,ice,flying,1
472,gallade,68,125,65,65,115,80,518,45,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows.",urban,475,233,psychic,fighting,4
147,dragonair,61,84,65,70,70,70,420,45,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,waters-edge,148,147,dragon,,1
412,combee,30,30,42,30,42,70,244,120,A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.,forest,415,49,bug,flying,4
136,porygon,65,60,70,85,75,40,395,45,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.,urban,137,79,normal,,1
58,arcanine,90,110,80,100,80,95,555,75,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,grassland,59,194,fire,,1
130,lapras,130,85,80,85,95,60,535,45,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.,sea,131,187,water,ice,1
408,shieldon,30,42,118,42,88,30,350,45,A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.,mountain,410,70,rock,steel,4
485,phione,80,80,80,80,80,80,480,30,A Pokémon that lives in warm seas. It inflates the flotation sac on its head to drift and search for food.,waters-edge,489,216,water,,4
439,spiritomb,50,92,108,92,108,35,485,100,A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.,forest,442,170,ghost,dark,4
139,kabuto,30,80,90,55,45,55,355,45,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.,sea,140,71,rock,water,1
112,chansey,250,5,5,35,105,50,450,30,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,urban,113,395,normal,,1
234,smeargle,55,20,35,20,45,75,250,45,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.,urban,235,88,normal,,2
0,bulbasaur,45,49,49,65,65,45,318,45,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,grassland,1,64,grass,poison,1
151,chikorita,45,49,65,49,65,45,318,45,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.,grassland,152,64,grass,,2
