,name,hp,attack,defense,special_attack,special_defense,speed,total,capture_rate,flavor_text_entries,habitat,id_x,base_experience,type_1,type_2,generation
0,bulbasaur,45,49,49,65,65,45,318,45,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,grassland,1,64,grass,poison,1
1,ivysaur,60,62,63,80,80,60,405,45,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",grassland,2,142,grass,poison,1
2,venusaur,80,82,83,100,100,80,525,45,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,grassland,3,236,grass,poison,1
3,charmander,39,52,43,60,50,65,309,45,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",mountain,4,62,fire,,1
4,charmeleon,58,64,58,80,65,80,405,45,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",mountain,5,142,fire,,1
5,charizard,78,84,78,109,85,100,534,45,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,mountain,6,240,fire,flying,1
6,squirtle,44,48,65,50,64,43,314,45,Shoots water at prey while in the water. Withdraws into its shell when in danger.,waters-edge,7,63,water,,1
7,wartortle,59,63,80,65,80,58,405,45,"When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit.",waters-edge,8,142,water,,1
8,blastoise,79,83,100,85,105,78,530,45,It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.,waters-edge,9,239,water,,1
9,caterpie,45,30,35,20,20,45,195,255,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.,forest,10,39,bug,,1
10,metapod,50,20,55,25,25,30,205,120,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",forest,11,72,bug,,1
11,butterfree,60,45,50,90,80,70,395,45,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",forest,12,178,bug,flying,1
12,weedle,40,35,30,20,20,50,195,255,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",forest,13,39,bug,poison,1
13,kakuna,45,25,50,25,25,35,205,120,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",forest,14,72,bug,poison,1
14,beedrill,65,90,40,45,80,75,395,45,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,forest,15,178,bug,poison,1
15,pidgey,40,45,40,35,35,56,251,255,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,forest,16,50,normal,flying,1
16,pidgeotto,63,60,55,50,50,71,349,120,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",forest,17,122,normal,flying,1
17,pidgeot,83,80,75,70,70,101,479,45,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",forest,18,216,normal,flying,1
18,rattata,30,56,35,25,35,72,253,255,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",grassland,19,51,normal,,1
19,raticate,55,81,60,50,70,97,413,127,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,grassland,20,145,normal,,1
20,spearow,40,60,30,31,31,70,262,255,Il est incapable de voler à haute altitude. Il se déplace très vite pour protéger son territoire.,rough-terrain,21,52,normal,flying,1
21,fearow,65,90,65,61,61,100,442,90,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",rough-terrain,22,155,normal,flying,1
22,ekans,35,60,44,40,54,55,288,255,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",grassland,23,58,poison,,1
23,arbok,60,95,69,65,79,80,448,90,It is rumored that the ferocious warning markings on its belly differ from area to area.,grassland,24,157,poison,,1
24,pikachu,35,55,40,50,50,90,320,190,最近發表了聚集大量皮卡丘 來建造發電廠的計畫。,forest,25,112,electric,,1
25,raichu,60,90,55,90,80,110,485,75,"Its tail discharges electricity into the ground, protecting it from getting shocked.",forest,26,218,electric,,1
26,sandshrew,50,75,85,20,30,40,300,255,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,rough-terrain,27,60,ground,,1
27,sandslash,75,100,110,45,55,65,450,90,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,rough-terrain,28,158,ground,,1
28,nidoran-f,55,47,52,40,40,41,275,235,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",grassland,29,55,poison,,1
29,nidorina,70,62,67,55,55,56,365,120,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,grassland,30,128,poison,,1
30,nidoqueen,90,92,87,75,85,76,505,45,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,grassland,31,227,poison,ground,1
31,nidoran-m,46,57,40,40,40,50,273,235,Saca las orejas por encima de la hierba para explorar el territorio. Le protege su cuerno venenoso.,grassland,32,55,poison,,1
32,nidorino,61,72,57,55,55,65,365,120,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,grassland,33,128,poison,,1
33,nidoking,81,102,77,85,75,85,505,45,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.,grassland,34,227,poison,ground,1
